,BTC/USDC,ETH/USDC,SOL/USDC,XRP/USDC,TON/USDC,ADA/USDC,LINK/USDC,CRO/USDC,FARTCOIN/USDC,DOGE/USDC,XMR/USDC,AI16Z/USDC,LTC/USDC,DOT/USDC,ATOM/USDC,AVAX/USDC,PENGU/USDC,MELANIA/USDC,XTZ/USDC,SHIB/USDC,TRUMP/USDC,ALGO/USDC,BERA/USDC,BNB/USDC,BCH/USDC,MANA/USDC,S/USDC,VIRTUAL/USDC,APE/USDC
XMR/USDC,0.7439465265515064,0.05523611114511042,-0.10401629153993015,0.0623901197218738,-0.5596200399166843,-0.3464413841951361,-0.358894016842739,0.3364362965128539,0.7878323567739404,-0.34484257346631964,1.0,-0.16319615621982986,-0.20971153005533288,-0.46427222358692705,-0.3859655541681295,-0.40969496651225396,0.5409084692386372,-0.523068174939702,-0.5225032533598583,-0.422346562129441,-0.28080888076212907,-0.40261619613779404,-0.7374499711345204,0.4601524767905724,0.467154355974318,-0.3581644950409544,0.317640197568343,0.91224403228879,-0.2657997456773339
AI16Z/USDC,0.11707887648319454,0.44220627752990965,0.8263509310523196,0.49571390490970546,0.7987437624164433,0.7194370183938794,0.8634027468489305,0.29772487346378385,0.022510221582018434,0.8815518883588697,-0.16319615621982986,1.0,0.7066153506733712,0.8984930967928891,0.781256239143017,0.9025496468183682,0.02821454816836205,0.8451697229143759,0.748673997094031,0.9009767612330007,0.9481893337876178,0.8509447297257472,0.3857159881029346,-0.217794040201827,-0.0724331216253038,0.8622229874314089,0.9168030547380246,0.35703111074845917,0.7670596153809383
LTC/USDC,0.21900822703890271,0.6572692571309646,0.7240986752375231,0.683698174584496,0.5300990547901063,0.7013778343256045,0.7449461596378789,0.2767379068251765,-0.1771940117504314,0.7265673009386932,-0.20971153005533288,0.7066153506733712,1.0,0.6270275917132154,0.5602284216754121,0.556783356255902,0.30461889778315326,0.600989260618045,0.6690541295601347,0.6223319900088197,0.6221701598267342,0.7279586588401803,0.43357722837886903,0.7534666688238385,0.11822575292767164,0.5839856044337545,0.42007701335012637,0.20516746136214106,0.5617363922263465
DOT/USDC,0.028599230864753043,0.7147625042126458,0.7532948858846503,0.3458305627492152,0.9492187952657599,0.8853536179983819,0.9130621665742995,0.41246380196980986,-0.06658689750114037,0.9423419184629842,-0.46427222358692705,0.8984930967928891,0.6270275917132154,1.0,0.9713273654805705,0.9227436985887821,0.07854665774683023,0.820315700730024,0.9465521187780976,0.985785527425109,0.8783623958607959,0.9146418822634982,0.5718435041045694,0.17456925541067173,0.2542038004455541,0.9623754903946858,0.8478439350991863,0.16058241699936412,0.928112515852981
ATOM/USDC,0.11570367947494564,0.7447661611968753,0.7430869590556121,0.3784814615611356,0.9313524885861488,0.8589142029551805,0.8979549118908267,0.6166369377917474,0.1847226368938576,0.9228239494268102,-0.3859655541681295,0.781256239143017,0.5602284216754121,0.9713273654805705,1.0,0.9150185257166827,0.32114635651350754,0.7116798528692035,0.9206712973194064,0.9705554777631372,0.7982917500315384,0.8956461278296116,0.2711909900850028,0.4575696512924006,0.35718436388399427,0.9546105115806881,0.6895267660053842,0.2667956747905909,0.9251075472660095
AVAX/USDC,0.14034587483042005,0.7162572945701248,0.7367109664577273,0.3487390261539149,0.8583028196612664,0.7989655287164177,0.8793284138906367,0.6472922502586657,0.17688640920544482,0.8803254969615097,-0.40969496651225396,0.9025496468183682,0.556783356255902,0.9227436985887821,0.9150185257166827,1.0,0.3387373903797172,0.8221340321310835,0.8556876202973026,0.9145330985524107,0.902870193469714,0.8513449521667114,0.2375425468436337,0.4323954399527502,0.359688204046119,0.9034662645890601,0.6944052846003105,0.4147762547480095,0.885937145052368
PENGU/USDC,0.7888303256416752,0.7999559409005687,0.5252735896829142,0.776609886721599,-0.0345667757089125,0.3182614716729374,0.43198853521350167,0.6467741970802691,0.5975080902301634,0.3965251859361954,0.5409084692386372,0.02821454816836205,0.30461889778315326,0.07854665774683023,0.32114635651350754,0.3387373903797172,1.0,-0.2277510763224741,0.3002302592420293,0.2811725950881835,0.017297681080215926,0.4721165430431914,-0.4501524589074926,0.806206994214028,0.7144039780994004,0.4183649878691779,-0.10638514872514555,0.5411735922380619,0.4610207657966365
MELANIA/USDC,-0.12689673695946785,0.3332564379670307,0.7062560633670083,0.47759331886283335,0.8798152411129618,0.6467794948398845,0.8210361340181066,0.13164408312521816,-0.36340759984798504,0.8097685981216927,-0.523068174939702,0.8451697229143759,0.600989260618045,0.820315700730024,0.7116798528692035,0.8221340321310835,-0.2277510763224741,1.0,0.8354719788624537,0.8115636563823552,0.9347329374249488,0.8172377711255455,0.7922980887482133,-0.4005247890405686,-0.20572465612884616,0.7367731909977516,0.8577744903661823,-0.46698158725391237,0.6495506235685333
XTZ/USDC,0.037208669728290164,0.7765421526465095,0.7560722901807866,0.44055974781689566,0.9450261145266097,0.8682964421926328,0.9132362355310737,0.46013119615398224,-0.20240991796848917,0.9412101236338315,-0.5225032533598583,0.748673997094031,0.6690541295601347,0.9465521187780976,0.9206712973194064,0.8556876202973026,0.3002302592420293,0.8354719788624537,1.0,0.9510322352638545,0.8150010529325391,0.9298959340293258,0.5448499275571698,0.7523104271581363,0.2813861086163238,0.9215253303404952,0.1880149545292271,-0.04126670993543852,0.9095451979086373
SHIB/USDC,0.10906536853560879,0.7599329830098643,0.7996426009978588,0.3916222131055396,0.947596945576405,0.882664073879639,0.9277450367497265,0.557650453237736,0.10336216014702518,0.965492277142876,-0.422346562129441,0.9009767612330007,0.6223319900088197,0.985785527425109,0.9705554777631372,0.9145330985524107,0.2811725950881835,0.8115636563823552,0.9510322352638545,1.0,0.8945224447067852,0.9416306010562674,0.3390732972510696,0.3187720735133062,0.32052235208455304,0.982614394588103,0.7740622991189202,0.33479419036565305,0.942030981150763
TRUMP/USDC,0.10451362614443861,0.468978055647733,0.831075084855449,0.5679314313590265,0.8556408990428827,0.7431764903955014,0.8811805405444209,0.3486849196897502,-0.040150858804201335,0.8885715310661474,-0.28080888076212907,0.9481893337876178,0.6221701598267342,0.8783623958607959,0.7982917500315384,0.902870193469714,0.017297681080215926,0.9347329374249488,0.8150010529325391,0.8945224447067852,1.0,0.8698572547513289,0.48013320552373395,-0.23960290633571316,0.0013307589584322023,0.8709803013602945,0.8809481778795061,0.2007252220043049,0.7844605068656547
ALGO/USDC,0.19262218992458338,0.792521071657823,0.8849565253755862,0.6156573369140623,0.8876869733037488,0.9183635085285456,0.9605615643830792,0.5994820838912559,0.08558235929071255,0.9736109595351606,-0.40261619613779404,0.8509447297257472,0.7279586588401803,0.9146418822634982,0.8956461278296116,0.8513449521667114,0.4721165430431914,0.8172377711255455,0.9298959340293258,0.9416306010562674,0.8698572547513289,1.0,0.26327845437571584,0.5718512690515744,0.337252810089572,0.94330553591598,0.3762793579859006,0.262183967891742,0.8729209137279105
BERA/USDC,-0.7047902524609265,-0.31376690492922854,-0.15231377604250987,-0.015104494921243989,0.663663367930185,0.3666472546861017,0.2525132505390617,-0.26033479461524844,-0.8373435107916734,0.21413149129073725,-0.7374499711345204,0.3857159881029346,0.43357722837886903,0.5718435041045694,0.2711909900850028,0.2375425468436337,-0.4501524589074926,0.7922980887482133,0.5448499275571698,0.3390732972510696,0.48013320552373395,0.26327845437571584,1.0,-0.2574675086398579,-0.776494199205772,0.014101612533460166,0.9382677102102772,-0.6146739982227912,-0.20324351323212786
BNB/USDC,0.8489498347365134,0.9221951039068047,0.7293951504318007,0.803784250284609,0.16341293316960048,0.4926019322024055,0.6568824931601115,0.7459797447429126,0.6262328825319876,0.6397096422453281,0.4601524767905724,-0.217794040201827,0.7534666688238385,0.17456925541067173,0.4575696512924006,0.4323954399527502,0.806206994214028,-0.4005247890405686,0.7523104271581363,0.3187720735133062,-0.23960290633571316,0.5718512690515744,-0.2574675086398579,1.0,0.6557840831121053,0.24024731881214909,-0.14035078362249864,0.2610247167558604,0.6208199485545484
BCH/USDC,0.8096250993861008,0.6967043006567656,0.433134557208599,0.38372485035144005,0.21308582619528532,0.27782497467111367,0.35204829234588675,0.3678476482934827,0.7446511657119149,0.35275504984126166,0.467154355974318,-0.0724331216253038,0.11822575292767164,0.2542038004455541,0.35718436388399427,0.359688204046119,0.7144039780994004,-0.20572465612884616,0.2813861086163238,0.32052235208455304,0.0013307589584322023,0.337252810089572,-0.776494199205772,0.6557840831121053,1.0,0.40763499138164505,-0.6488072743341842,0.6700868045338444,0.508961318631515
MANA/USDC,0.18193895991047035,0.7689826329052519,0.8215538466915301,0.4205853808924307,0.9203850945048572,0.879816505869962,0.9235650721339637,0.6068261328511213,0.3196099846382594,0.9560869396493769,-0.3581644950409544,0.8622229874314089,0.5839856044337545,0.9623754903946858,0.9546105115806881,0.9034662645890601,0.4183649878691779,0.7367731909977516,0.9215253303404952,0.982614394588103,0.8709803013602945,0.94330553591598,0.014101612533460166,0.24024731881214909,0.40763499138164505,1.0,0.7713592362777955,0.5051369292739883,0.9394808465374032
S/USDC,-0.30986060985054353,-0.20139131302256427,0.5019202058292025,0.04262519551965578,0.6241626091273422,0.6417256944459703,0.47333086739531016,0.2631960968755993,0.44165383019878607,0.58235669434312,0.317640197568343,0.9168030547380246,0.42007701335012637,0.8478439350991863,0.6895267660053842,0.6944052846003105,-0.10638514872514555,0.8577744903661823,0.1880149545292271,0.7740622991189202,0.8809481778795061,0.3762793579859006,0.9382677102102772,-0.14035078362249864,-0.6488072743341842,0.7713592362777955,1.0,0.5497967573571314,0.00870139044705269
VIRTUAL/USDC,0.8553335549101255,0.6808354287773898,0.7279622006329609,0.30728982957372797,-0.1699670538047882,0.15899607373688038,0.3671013751501301,0.47863226613946214,0.7707507831474812,0.46150855208960206,0.91224403228879,0.35703111074845917,0.20516746136214106,0.16058241699936412,0.2667956747905909,0.4147762547480095,0.5411735922380619,-0.46698158725391237,-0.04126670993543852,0.33479419036565305,0.2007252220043049,0.262183967891742,-0.6146739982227912,0.2610247167558604,0.6700868045338444,0.5051369292739883,0.5497967573571314,1.0,0.7767452648371149
APE/USDC,0.2726303187373147,0.849912449294493,0.7831104412458602,0.3334661017354726,0.900312583562193,0.793617580355928,0.8766062722724943,0.5479140431349205,0.3230391535585943,0.9188666189127733,-0.2657997456773339,0.7670596153809383,0.5617363922263465,0.928112515852981,0.9251075472660095,0.885937145052368,0.4610207657966365,0.6495506235685333,0.9095451979086373,0.942030981150763,0.7844605068656547,0.8729209137279105,-0.20324351323212786,0.6208199485545484,0.508961318631515,0.9394808465374032,0.00870139044705269,0.7767452648371149,1.0
